PanelFictionType,,code,,,,,,,,,,,,,,,,,,,
ball_score_add,,1,,numOfPanel,,,panelPartsType,area_left/upper left,value,area_right/upper right,value,area_lower left,value,area_lower right,value,isRotate,isClockwise,rotateSpeed,yPosition,,bowlPos_Y
ball_score_sub,,2,,4,1,panel1,2,5,20,6,10,,,,,0,0,0,-25,,-170
ball_score_mul,,3,,numOfGimmick,,,gimmcikType,subFinalScoreValue,subBallScoreValue,isRotate,isClockwise,rotateSpeed,spikeBallPositon,spikeballSize,SlideStickPosition,SlideStickMoveTime,SlideStickMoveSpeed,,yPosition,,
ball_score_div,,4,,0,1.5,gimmick,,,,,,,,,,,,,25,,
num_add,,5,,ClearScore,,,panelPartsType,area_left/upper left,value,area_right/upper right,value,area_lower left,value,area_lower right,value,isRotate,isClockwise,rotateSpeed,yPosition,,
num_sub,,6,,100,2,panel2,2,1,30,6,2,,,,,0,0,0,-50,,
num_mul,,7,,,,,gimmcikType,subFinalScoreValue,subBallScoreValue,isRotate,isClockwise,rotateSpeed,spikeBallPositon,spikeballSize,SlideStickPosition,SlideStickMoveTime,SlideStickMoveSpeed,,yPosition,,
num_div,,8,,panelPosOffset,2.5,gimmick,,,,,,,,,,,,,-65,,
,,,,40,,,panelPartsType,area_left/upper left,value,area_right/upper right,value,area_lower left,value,area_lower right,value,isRotate,isClockwise,rotateSpeed,yPosition,,
panelPartsType,,code,,gimmickPosOffset,3,panel3,4,5,10,3,2,1,50,5,20,0,0,0,-80,,
2parts,,2,,35,,,gimmcikType,subFinalScoreValue,subBallScoreValue,isRotate,isClockwise,rotateSpeed,spikeBallPositon,spikeballSize,SlideStickPosition,SlideStickMoveTime,SlideStickMoveSpeed,,yPosition,,
4parts,,4,,arm_downspeed,3.5,gimmick,2,1,16,6,12,,,,,0,0,0,90,,
,,,,10,,,panelPartsType,area_left/upper left,value,area_right/upper right,value,area_lower left,value,area_lower right,value,isRotate,isClockwise,rotateSpeed,yPosition,,
gimmickType,,code,,,4,panel4,2,1,16,6,12,,,,,0,0,0,-130,,
spikeball,,1,,,,,gimmcikType,subFinalScoreValue,subBallScoreValue,isRotate,isClockwise,rotateSpeed,spikeBallPositon,spikeballSize,SlideStickPosition,SlideStickMoveTime,SlideStickMoveSpeed,,yPosition,,
rotarysickle,,2,,,4.5,gimmick,,,,,,,,,,,,,,,
slidingstick,,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
spikeballPosition,,,,,,,,,,,,,,,,,,,,,
,1,2,,,,,,,,,,,,,,,,,,,
,3,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
slidingstickPosition,,,,,,,,,,,,,,,,,,,,,
,7,8,,,,,,,,,,,,,,,,,,,
6,upper left,upper right,1,,,,,,,,,,,,,,,,,,
5,lower left,lower right,2,,,,,,,,,,,,,,,,,,
,4,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
isRotate,1,0,,,,,,,,,,,,,,,,,,,
isClockwise,1,0,,,,,,,,,,,,,,,,,,,
